as_of_date,invoice_id,customer_id,due_date,open_amount,currency,days_past_due,aging_bucket,is_disputed_open
2026-03-01,INV-100000,CUST-1026,2025-11-02,19930.6,USD,132,90+,False
2026-03-01,INV-100001,CUST-1121,2026-01-06,51102.81,USD,119,90+,True
2026-03-01,INV-100002,CUST-1193,2025-11-30,23268.59,USD,145,90+,False
2026-03-01,INV-100003,CUST-1004,2025-10-10,21757.83,USD,133,90+,False
2026-03-01,INV-100004,CUST-1028,2025-12-23,82273.62,USD,105,90+,False
2026-03-01,INV-100005,CUST-1164,2025-12-04,34556.15,USD,126,90+,False
2026-03-01,INV-100006,CUST-1165,2025-12-16,21696.15,USD,27,1-30,False
2026-03-01,INV-100007,CUST-1082,2025-10-01,54822.31,USD,106,90+,False
2026-03-01,INV-100008,CUST-1135,2026-02-10,30617.83,USD,23,1-30,False
2026-03-01,INV-100009,CUST-1108,2025-12-19,26667.82,USD,27,1-30,False
2026-03-01,INV-100010,CUST-1064,2025-10-15,44067.01,USD,145,90+,False
2026-03-01,INV-100011,CUST-1085,2025-10-28,123488.72,USD,3,1-30,False
2026-03-01,INV-100012,CUST-1144,2025-10-23,27366.71,USD,103,90+,False
2026-03-01,INV-100013,CUST-1070,2026-01-17,45561.11,USD,127,90+,False
2026-03-01,INV-100014,CUST-1044,2026-01-15,33932.17,USD,127,90+,False
2026-03-01,INV-100015,CUST-1131,2026-02-22,11674.14,USD,105,90+,False
2026-03-01,INV-100016,CUST-1035,2026-01-21,17316.94,USD,95,90+,False
2026-03-01,INV-100017,CUST-1069,2026-01-06,46541.14,USD,126,90+,False
2026-03-01,INV-100018,CUST-1158,2026-02-18,32268.92,USD,92,90+,False
2026-03-01,INV-100019,CUST-1018,2026-02-19,25396.68,USD,65,61-90,False
2026-03-01,INV-100020,CUST-1188,2026-02-16,49209.13,USD,57,31-60,False
2026-03-01,INV-100021,CUST-1107,2025-10-28,41830.7,USD,10,1-30,False
2026-03-01,INV-100022,CUST-1181,2025-11-11,8629.65,USD,110,90+,True
2026-03-01,INV-100023,CUST-1166,2026-01-07,16741.16,USD,103,90+,False
2026-03-01,INV-100024,CUST-1090,2025-11-30,34599.4,USD,64,61-90,False
2026-03-01,INV-100025,CUST-1089,2026-01-31,14649.39,USD,127,90+,False
2026-03-01,INV-100026,CUST-1018,2025-12-03,76443.79,USD,16,1-30,True
2026-03-01,INV-100027,CUST-1038,2025-10-31,34569.58,USD,113,90+,False
2026-03-01,INV-100028,CUST-1125,2025-12-20,30771.54,USD,79,61-90,True
2026-03-01,INV-100029,CUST-1194,2025-10-10,94679.2,USD,65,61-90,False
2026-03-01,INV-100030,CUST-1172,2025-10-08,37470.46,USD,117,90+,True
2026-03-01,INV-100031,CUST-1140,2026-02-26,26303.42,USD,112,90+,False
2026-03-01,INV-100032,CUST-1125,2025-11-28,17576.83,USD,131,90+,False
2026-03-01,INV-100033,CUST-1057,2026-03-27,46989.6,USD,70,61-90,False
2026-03-01,INV-100034,CUST-1147,2025-10-30,31184.18,USD,60,31-60,False
2026-03-01,INV-100035,CUST-1199,2026-02-22,11458.08,USD,57,31-60,False
2026-03-01,INV-100036,CUST-1060,2025-10-20,51427.26,USD,52,31-60,True
2026-03-01,INV-100037,CUST-1126,2025-11-17,24806.49,USD,4,1-30,False
2026-03-01,INV-100038,CUST-1104,2026-02-07,59715.39,USD,113,90+,False
2026-03-01,INV-100039,CUST-1166,2025-11-06,82341.55,USD,60,31-60,False
2026-03-01,INV-100040,CUST-1000,2026-02-06,9985.0,USD,20,1-30,False
2026-03-01,INV-100041,CUST-1130,2026-02-09,30487.73,USD,13,1-30,False
2026-03-01,INV-100042,CUST-1091,2026-01-08,42749.26,USD,95,90+,False
2026-03-01,INV-100043,CUST-1189,2025-11-23,21709.68,USD,78,61-90,False
2026-03-01,INV-100044,CUST-1190,2026-01-30,40309.49,USD,77,61-90,False
2026-03-01,INV-100045,CUST-1112,2025-10-25,16246.57,USD,40,31-60,False
2026-03-01,INV-100046,CUST-1152,2026-02-08,75413.74,USD,15,1-30,False
2026-03-01,INV-100047,CUST-1055,2025-10-09,75687.08,USD,50,31-60,False
2026-03-01,INV-100048,CUST-1160,2025-11-03,20170.19,USD,0,Current,True
2026-03-01,INV-100049,CUST-1165,2025-11-12,7826.25,USD,39,31-60,True
2026-03-01,INV-100050,CUST-1116,2025-12-13,26418.71,USD,17,1-30,False
2026-03-01,INV-100051,CUST-1133,2026-01-02,26384.3,USD,33,31-60,False
2026-03-01,INV-100052,CUST-1057,2025-10-22,55442.67,USD,99,90+,False
2026-03-01,INV-100053,CUST-1043,2025-12-09,11635.29,USD,148,90+,False
2026-03-01,INV-100054,CUST-1172,2026-02-07,96199.7,USD,128,90+,True
2026-03-01,INV-100055,CUST-1159,2026-01-02,25061.09,USD,138,90+,False
2026-03-01,INV-100056,CUST-1172,2025-11-01,39624.63,USD,119,90+,True
2026-03-01,INV-100057,CUST-1060,2026-01-14,38278.27,USD,101,90+,False
2026-03-01,INV-100058,CUST-1046,2026-02-21,76005.91,USD,114,90+,False
2026-03-01,INV-100059,CUST-1148,2025-10-01,61168.3,USD,13,1-30,False
2026-03-01,INV-100060,CUST-1079,2025-12-11,107362.4,USD,91,90+,False
2026-03-01,INV-100061,CUST-1117,2026-03-25,26389.12,USD,149,90+,False
2026-03-01,INV-100062,CUST-1163,2025-11-19,29423.46,USD,20,1-30,False
2026-03-01,INV-100063,CUST-1146,2026-02-18,8301.98,USD,119,90+,True
2026-03-01,INV-100064,CUST-1019,2025-10-15,40647.4,USD,18,1-30,False
2026-03-01,INV-100065,CUST-1184,2025-11-22,5433.36,USD,23,1-30,False
2026-03-01,INV-100066,CUST-1145,2026-03-21,33889.74,USD,25,1-30,False
2026-03-01,INV-100067,CUST-1046,2025-10-08,36509.82,USD,44,31-60,False
2026-03-01,INV-100068,CUST-1048,2025-12-13,39266.76,USD,107,90+,False
2026-03-01,INV-100069,CUST-1013,2025-11-15,37924.09,USD,138,90+,False
2026-03-01,INV-100070,CUST-1142,2025-12-08,14861.58,USD,23,1-30,False
2026-03-01,INV-100071,CUST-1158,2026-01-22,106813.82,USD,23,1-30,True
2026-03-01,INV-100072,CUST-1000,2026-02-24,20999.01,USD,11,1-30,False
2026-03-01,INV-100073,CUST-1116,2026-03-15,66894.65,USD,134,90+,True
2026-03-01,INV-100074,CUST-1053,2026-01-31,136479.08,USD,80,61-90,False
2026-03-01,INV-100075,CUST-1117,2026-02-16,29962.02,USD,98,90+,False
2026-03-01,INV-100076,CUST-1002,2026-01-25,10423.17,USD,69,61-90,False
2026-03-01,INV-100077,CUST-1143,2025-11-12,16331.96,USD,78,61-90,False
2026-03-01,INV-100078,CUST-1184,2025-10-20,32769.76,USD,22,1-30,True
2026-03-01,INV-100079,CUST-1011,2026-02-25,104356.49,USD,122,90+,False
2026-03-01,INV-100080,CUST-1073,2025-10-21,7292.75,USD,37,31-60,False
2026-03-01,INV-100081,CUST-1015,2025-12-21,32487.25,USD,28,1-30,False
2026-03-01,INV-100082,CUST-1199,2025-11-26,25828.19,USD,75,61-90,False
2026-03-01,INV-100083,CUST-1101,2026-03-27,45920.11,USD,67,61-90,False
2026-03-01,INV-100084,CUST-1151,2025-12-13,47358.94,USD,20,1-30,False
2026-03-01,INV-100085,CUST-1155,2026-01-06,41306.03,USD,8,1-30,False
2026-03-01,INV-100086,CUST-1116,2026-03-03,16153.97,USD,48,31-60,False
2026-03-01,INV-100087,CUST-1007,2026-03-07,15598.99,USD,97,90+,True
2026-03-01,INV-100088,CUST-1121,2026-01-18,10984.04,USD,36,31-60,False
2026-03-01,INV-100089,CUST-1091,2026-01-23,34555.89,USD,20,1-30,False
2026-03-01,INV-100090,CUST-1163,2026-03-08,24851.88,USD,22,1-30,False
2026-03-01,INV-100091,CUST-1089,2025-11-11,38412.72,USD,137,90+,False
2026-03-01,INV-100092,CUST-1135,2025-12-07,28563.87,USD,69,61-90,False
2026-03-01,INV-100093,CUST-1185,2025-12-09,114053.95,USD,148,90+,False
2026-03-01,INV-100094,CUST-1059,2025-12-17,3832.76,USD,100,90+,False
2026-03-01,INV-100095,CUST-1177,2025-12-29,27914.69,USD,28,1-30,False
2026-03-01,INV-100096,CUST-1027,2026-01-19,9724.27,USD,58,31-60,False
2026-03-01,INV-100097,CUST-1100,2026-01-20,53806.24,USD,20,1-30,False
2026-03-01,INV-100098,CUST-1040,2026-01-11,23761.01,USD,85,61-90,False
2026-03-01,INV-100099,CUST-1191,2026-02-22,20461.05,USD,98,90+,False
2026-03-01,INV-100100,CUST-1154,2025-10-19,68298.2,USD,62,61-90,False
2026-03-01,INV-100101,CUST-1190,2026-03-28,14918.23,USD,45,31-60,False
2026-03-01,INV-100102,CUST-1144,2025-12-09,119042.89,USD,132,90+,False
2026-03-01,INV-100103,CUST-1160,2025-12-02,60194.42,USD,14,1-30,False
2026-03-01,INV-100104,CUST-1156,2025-12-14,14480.44,USD,104,90+,False
2026-03-01,INV-100105,CUST-1140,2026-03-07,39496.16,USD,110,90+,False
2026-03-01,INV-100106,CUST-1045,2026-03-02,81640.04,USD,82,61-90,False
2026-03-01,INV-100107,CUST-1034,2026-01-12,173451.19,USD,79,61-90,False
2026-03-01,INV-100108,CUST-1133,2025-12-14,3784.0,USD,110,90+,False
2026-03-01,INV-100109,CUST-1081,2026-02-05,8857.47,USD,106,90+,True
2026-03-01,INV-100110,CUST-1114,2026-03-03,23241.84,USD,86,61-90,False
