comm_id,customer_id,invoice_id,event_date,channel,outcome,notes
COM-0,CUST-1124,INV-109731,2026-01-07,Call,Escalated,Automated log
COM-1,CUST-1050,INV-107291,2026-02-06,Email,Escalated,Automated log
COM-2,CUST-1130,INV-108179,2026-02-23,Call,Promise,Automated log
COM-3,CUST-1144,INV-103720,2026-01-16,Call,No Response,Automated log
COM-4,CUST-1019,INV-100280,2026-01-14,Call,Promise,Automated log
COM-5,CUST-1134,INV-100056,2026-01-14,Email,Escalated,Automated log
COM-6,CUST-1144,INV-106468,2026-01-04,Call,Escalated,Automated log
COM-7,CUST-1057,INV-100090,2026-01-14,Email,Escalated,Automated log
COM-8,CUST-1116,INV-100003,2026-01-01,Call,No Response,Automated log
COM-9,CUST-1154,INV-108724,2026-02-25,Email,Escalated,Automated log
COM-10,CUST-1012,INV-107626,2026-02-02,Email,Promise,Automated log
COM-11,CUST-1004,INV-108606,2026-01-08,Email,No Response,Automated log
COM-12,CUST-1064,INV-108827,2026-01-27,Email,Escalated,Automated log
COM-13,CUST-1144,INV-105328,2026-02-02,Email,No Response,Automated log
COM-14,CUST-1164,INV-108454,2026-02-27,Email,No Response,Automated log
COM-15,CUST-1143,INV-108936,2026-02-27,Email,Promise,Automated log
COM-16,CUST-1145,INV-105744,2026-01-30,Email,Promise,Automated log
COM-17,CUST-1091,INV-106258,2026-01-20,Email,Promise,Automated log
COM-18,CUST-1002,INV-100310,2026-01-06,Email,No Response,Automated log
COM-19,CUST-1145,INV-108798,2026-01-01,Email,Escalated,Automated log
COM-20,CUST-1168,INV-105827,2026-01-09,Email,No Response,Automated log
COM-21,CUST-1127,INV-109736,2026-02-24,Email,Promise,Automated log
COM-22,CUST-1077,INV-106969,2026-02-01,Call,No Response,Automated log
COM-23,CUST-1016,INV-100108,2026-02-02,Email,Escalated,Automated log
COM-24,CUST-1082,INV-102333,2026-02-27,Call,No Response,Automated log
COM-25,CUST-1060,INV-106615,2026-01-18,Call,No Response,Automated log
COM-26,CUST-1174,INV-104463,2026-02-06,Call,Escalated,Automated log
COM-27,CUST-1071,INV-105225,2026-01-19,Call,Escalated,Automated log
COM-28,CUST-1067,INV-104095,2026-02-02,Email,No Response,Automated log
COM-29,CUST-1151,INV-104156,2026-01-05,Email,No Response,Automated log
COM-30,CUST-1092,INV-102294,2026-02-25,Email,Escalated,Automated log
COM-31,CUST-1174,INV-104518,2026-01-12,Call,No Response,Automated log
COM-32,CUST-1055,INV-106411,2026-01-01,Email,Promise,Automated log
COM-33,CUST-1126,INV-100337,2026-01-06,Email,Promise,Automated log
COM-34,CUST-1074,INV-105572,2026-01-17,Call,Promise,Automated log
COM-35,CUST-1075,INV-100612,2026-01-08,Call,Promise,Automated log
COM-36,CUST-1141,INV-107795,2026-01-05,Email,Promise,Automated log
COM-37,CUST-1070,INV-102811,2026-02-04,Call,Escalated,Automated log
COM-38,CUST-1066,INV-106923,2026-01-28,Call,No Response,Automated log
COM-39,CUST-1138,INV-103318,2026-01-15,Call,Promise,Automated log
COM-40,CUST-1001,INV-102735,2026-03-01,Call,No Response,Automated log
COM-41,CUST-1016,INV-103430,2026-01-28,Call,Escalated,Automated log
COM-42,CUST-1169,INV-104019,2026-01-24,Call,Escalated,Automated log
COM-43,CUST-1057,INV-107404,2026-01-26,Call,Promise,Automated log
COM-44,CUST-1124,INV-108708,2026-01-08,Call,No Response,Automated log
COM-45,CUST-1022,INV-102802,2026-02-04,Email,Escalated,Automated log
COM-46,CUST-1032,INV-102131,2026-01-16,Call,Escalated,Automated log
COM-47,CUST-1044,INV-106138,2026-01-07,Call,Escalated,Automated log
COM-48,CUST-1077,INV-108527,2026-01-17,Email,Promise,Automated log
COM-49,CUST-1048,INV-103325,2026-02-20,Email,Promise,Automated log
COM-50,CUST-1105,INV-106614,2026-02-24,Call,Escalated,Automated log
COM-51,CUST-1019,INV-108255,2026-02-04,Call,No Response,Automated log
COM-52,CUST-1110,INV-103897,2026-01-31,Email,Promise,Automated log
COM-53,CUST-1180,INV-102301,2026-02-28,Email,Promise,Automated log
COM-54,CUST-1144,INV-105528,2026-01-07,Call,Escalated,Automated log
COM-55,CUST-1108,INV-107220,2026-02-20,Call,Escalated,Automated log
COM-56,CUST-1135,INV-100383,2026-01-03,Email,Promise,Automated log
COM-57,CUST-1006,INV-108316,2026-01-18,Call,Escalated,Automated log
COM-58,CUST-1164,INV-102579,2026-02-22,Call,No Response,Automated log
COM-59,CUST-1048,INV-104072,2026-01-27,Email,No Response,Automated log
COM-60,CUST-1195,INV-106786,2026-01-17,Email,Escalated,Automated log
COM-61,CUST-1029,INV-109094,2026-02-01,Call,Promise,Automated log
