payment_id,customer_id,invoice_id,payment_date,amount,payment_method,status
PAY-0,CUST-1152,INV-106550,2026-01-22,60853.94,Wire,Partial
PAY-1,CUST-1038,INV-101192,2026-02-05,12231.99,Wire,Partial
PAY-2,CUST-1029,INV-102391,2026-02-01,10144.12,Wire,Partial
PAY-3,CUST-1042,INV-101422,2026-01-27,33942.64,Wire,Partial
PAY-4,CUST-1181,INV-106655,2026-01-07,35020.17,Check,Partial
PAY-5,CUST-1031,INV-103273,2026-02-08,32759.41,Wire,Completed
PAY-6,CUST-1125,INV-102042,2026-02-19,57840.85,Wire,Completed
PAY-7,CUST-1094,INV-103659,2026-01-12,27057.56,Check,Partial
PAY-8,CUST-1176,INV-105728,2026-01-16,49671.88,ACH,Partial
PAY-9,CUST-1001,INV-109385,2026-02-07,27030.13,ACH,Partial
PAY-10,CUST-1046,INV-102818,2026-01-05,24581.51,Check,Completed
PAY-11,CUST-1098,INV-109520,2026-02-11,70132.48,Check,Completed
PAY-12,CUST-1022,INV-104177,2026-02-18,55727.37,Wire,Completed
PAY-13,CUST-1133,INV-101316,2026-02-04,35043.54,ACH,Completed
PAY-14,CUST-1084,INV-106918,2026-01-09,19430.59,ACH,Completed
PAY-15,CUST-1040,INV-100878,2026-01-29,16407.68,Wire,Completed
PAY-16,CUST-1041,INV-109253,2026-01-27,51305.29,Wire,Partial
PAY-17,CUST-1180,INV-106585,2026-02-26,41910.63,Wire,Completed
PAY-18,CUST-1071,INV-103204,2026-02-01,5291.2,Wire,Completed
PAY-19,CUST-1166,INV-100594,2026-01-10,41059.43,Check,Partial
PAY-20,CUST-1137,INV-104280,2026-01-25,51293.76,Check,Partial
PAY-21,CUST-1111,INV-100667,2026-02-28,21997.98,Wire,Completed
PAY-22,CUST-1049,INV-104644,2026-02-11,11238.78,ACH,Partial
PAY-23,CUST-1074,INV-100216,2026-02-22,42417.86,ACH,Completed
PAY-24,CUST-1135,INV-106007,2026-02-07,14169.32,ACH,Partial
PAY-25,CUST-1000,INV-104703,2026-01-25,4637.31,ACH,Completed
PAY-26,CUST-1199,INV-109464,2026-01-04,27239.03,ACH,Partial
PAY-27,CUST-1196,INV-106756,2026-02-12,42691.53,Wire,Partial
PAY-28,CUST-1000,INV-108157,2026-02-21,9053.52,ACH,Partial
PAY-29,CUST-1194,INV-109553,2026-03-01,16926.38,Check,Completed
PAY-30,CUST-1026,INV-104480,2026-02-10,20590.06,Check,Completed
PAY-31,CUST-1108,INV-104192,2026-02-13,28300.77,ACH,Completed
PAY-32,CUST-1188,INV-108788,2026-01-23,2577.98,Check,Partial
PAY-33,CUST-1124,INV-103981,2026-02-23,100194.29,Wire,Completed
PAY-34,CUST-1175,INV-102798,2026-01-10,22319.27,ACH,Partial
PAY-35,CUST-1022,INV-104783,2026-01-06,77264.48,Wire,Partial
